Date,Close/Last,Volume,Open,High,Low
10/18/2024,$235.00,46431470,$236.18,$236.18,$234.01
10/17/2024,$232.15,32993810,$233.43,$233.85,$230.52
10/16/2024,$231.78,34082240,$231.60,$232.12,$229.84
10/15/2024,$233.85,64751370,$233.61,$237.49,$232.37
10/14/2024,$231.30,39882090,$228.70,$231.73,$228.60
10/11/2024,$227.55,31759190,$229.30,$229.41,$227.34
10/10/2024,$229.04,28183540,$227.78,$229.50,$227.17
10/09/2024,$229.54,33591090,$225.23,$229.75,$224.83
10/08/2024,$225.77,31855690,$224.30,$225.98,$223.25
10/07/2024,$221.69,39505350,$224.50,$225.69,$221.33
10/04/2024,$226.80,37345100,$227.90,$228.00,$224.13
10/03/2024,$225.67,34044160,$225.14,$226.805,$223.32
10/02/2024,$226.78,32880610,$225.89,$227.37,$223.02
10/01/2024,$226.21,63285050,$229.52,$229.65,$223.74
09/30/2024,$233.00,54793390,$230.04,$233.00,$229.65
09/27/2024,$227.79,34025970,$228.46,$229.52,$227.30
09/26/2024,$227.52,36636710,$227.30,$228.50,$225.41
09/25/2024,$226.37,42308720,$224.93,$227.29,$224.02
09/24/2024,$227.37,43556070,$228.645,$229.35,$225.73
09/23/2024,$226.47,54146020,$227.34,$229.45,$225.81
09/20/2024,$228.20,318679900,$229.97,$233.09,$227.62
