Date,Close/Last,Volume,Open,High,Low
10/18/2024,$138.00,176090200,$138.665,$138.90,$137.28
10/17/2024,$136.93,306435900,$139.34,$140.89,$136.87
10/16/2024,$135.72,264879700,$133.98,$136.62,$131.58
10/15/2024,$131.60,377831000,$137.87,$138.57,$128.74
10/14/2024,$138.07,232347700,$136.47,$139.60,$136.30
10/11/2024,$134.80,170209500,$134.01,$135.78,$133.66
10/10/2024,$134.81,242311300,$131.91,$135.00,$131.00
10/09/2024,$132.65,246191600,$134.11,$134.52,$131.38
10/08/2024,$132.89,285722500,$130.26,$133.48,$129.42
10/07/2024,$127.72,346250200,$124.99,$130.64,$124.95
10/04/2024,$124.92,244465600,$124.94,$125.04,$121.83
10/03/2024,$122.85,277118000,$120.92,$124.36,$120.3401
10/02/2024,$118.85,221845900,$116.44,$119.38,$115.14
10/01/2024,$117.00,302094500,$121.765,$122.4351,$115.79
09/30/2024,$121.44,227053700,$118.31,$121.50,$118.15
09/27/2024,$121.40,271009200,$123.97,$124.03,$119.26
09/26/2024,$124.04,302582900,$126.80,$127.665,$121.80
09/25/2024,$123.51,284692900,$122.02,$124.94,$121.61
09/24/2024,$120.87,354966800,$116.515,$121.80,$115.38
09/23/2024,$116.26,206228500,$116.55,$116.99,$114.86
09/20/2024,$116.00,382462400,$117.06,$118.6181,$115.3901
